,0,1,2,3,4,5,6,7
2_72,Go to train station before train arrival.,Buy a train ticket (one way or round-trip),Find appropriate platform that your train will arrive on.,Wait on platform for train to arrive,Board train.,Pick a seat and sit down,"When conductor walks by, offer ticket to conductor to be punched or scanned.",Enjoy your train trip
2_73,Board the train,Put your luggage in the proper compartments,Take your seat,"Listen to music, read a book or watch the scenery outside",Eat a snack,Wait to arrive at your destination,,
2_74,Go to train station,Buy train tickets,Wait for train,Show ticket,Board train,,,
2_75,Go to the train station,Look at the map to determine where you need to go,Purchase a ticket from the machine,Scan your ticket in the turnstile,Go to the waiting area for your train,Get on the train when it comes,Get off at your correct destination,
2_76,Buy ticket.,Pack things to bring.,Go to train station.,Check in at station.,Wait for train to arrive.,Board train.,Find seat or compartment.,
2_77,Pack a bag,Take personal documents,Go to train station,Buy a ticket,Wait for the train to arrive,Board the train,Show ticket to conductor,Find a seat
2_78,Go the the ticket dispenser.,Select destination and enter information into the device.,Place the credit or debit card into the device.,Withdraw the ticket.,Go to the gate at the correct time.,Board the train when it arrives.,Show the ticket when the conductor requests it.,Disembark at the destination.
2_79,Get in a car,Drive to a train station,Wait for train,Board train,Look outside train windows,,,
2_80,Step into train station,Walk to ticket window,Purchase a ticket,Locate the terminal,Wait for the train,Enter the train,Find your seat,
2_81,Enter station.,Decide on destination.,Purchase ticket.,"At appropriate time, board train.",Find a seat.,Present ticket when asked,Exit train at destination.,
2_82,Go to the station.,Buy a ticket.,Wait on the curb.,Board the train.,Sit down.,,,
2_83,Arrive early at the station just in case,Purchase tickets at the station for the train you want,"When you hear that the train is arriving, stand a safe distance form the platform",Board the train once it stops,Present your ticket to the conductor,,,
2_84,Plan your trip,Buy a ticket,Print your ticket,Go to train station,Present your ticket to board train,Find your seat,Sit down and enjoy your trip,
2_85,Take luggage into train station,Board train,Find seat,Ride train to destination,Disembark train,Gather luggage,Leave train station,
2_86,Figure out a destination.,Go to train station.,Buy a ticket.,Wait at train stop for train.,Wait on passengers to get off.,Show them ticket.,Get on train.,Ride train to destination.
2_87,plan your route,ready your fair,go to the station,check the schedule,wait for the train,,,
2_88,Go to train station,Pay for a ticket,Wait on platform for train,Board train when it arrives,Find a seat,Sit down,Give ticket to conductor,Take train ride
2_89,Go to the train station,Buy a ticket,Wait for a train,Board the train,Find a seat,Sit and ride,,
2_90,Go to the train station,Buy a ticket,Wait for the train,"When the train arrives, get on",Find a seat,Travel to your destination,,
2_91,Go to station,Buy a ticket,Wait for train to arrive,Show man on train ticket,Sit down on train,take train to destination,,
2_92,Drive to train station,Park,Go to ticket booth,Purchase ticket,Wait,Board train,Ride train,
2_93,Plan to the trip,Buy the ticket,Going to the platform,Enter the train,Find the seat,Occupy the seat,Relax,Waiting for our place
2_95,Select destination,Purchase ticket for train,Take taxi to train station,Present ticket to conductor,Board train,Ride to destination,Exit train,
2_96,Go into the station and buy a ticket,Go through the turnstiles,walk out onto the platform,wait for the train,"when train arrives, board the car",allow the doors to close,ride the train to your destination,when you arrive at your destination
2_97,Go to the train station.,Find the ticket booth.,Purchase a ticket.,Board the train,Show your ticket to the conductor.,Find your seat written on the ticket.,Sit down.,Exit the train when you get to your destination.
2_98,travel to train station,enter train station,go to ticket booth,buy a ticket,go to the area where the train is boarding,board the train,find a seat,sit in seat
2_99,Choose a destination.,Travel to the train station.,Purchase your ticket at the designated ticket window.,Board the train when it arrives.,Give your ticket to the ticket-taker when they pass your seat.,Exit the train at your destination.,,
